"";"db_ref";"objectives"
"1074";"crs_XM-DAC-928-CR-2020-21-04.001.AM01.CRI02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1075";"crs_XM-DAC-928-CU-2018-19-04.004.AM01.CUB01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1076";"crs_XM-DAC-928-CU-2020-21-04.001.AM01.CUB01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1077";"crs_XM-DAC-928-CU-2020-21-04.001.AM01.CUB02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1078";"crs_XM-DAC-928-CV-2016-17-04.004.AF01.CPV01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1079";"crs_XM-DAC-928-CV-2018-19-01.003.AF01.CPV02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1080";"crs_XM-DAC-928-CV-2018-19-04.004.AF01.CPV01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1081";"crs_XM-DAC-928-CV-2020-21-04.001.AF01.CPV01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1082";"crs_XM-DAC-928-CZ-2016-17-04.004.EU01.CZH01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1083";"crs_XM-DAC-928-CZ-2018-19-04.004.EU01.CZH01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1084";"crs_XM-DAC-928-CZ-2020-21-04.001.EU01.CZH01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1085";"crs_XM-DAC-928-DJ-2016-17-04.004.EM01.DJI01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1086";"crs_XM-DAC-928-DJ-2018-19-01.003.EM01.DJI02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1087";"crs_XM-DAC-928-DJ-2018-19-04.004.EM01.DJI01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1088";"crs_XM-DAC-928-DJ-2018-19-12.001.EM01.DJI02";"Global expert networks and innovative mechanisms developed to manage new and evolving high-threat infectious hazards (such as for clinical management, laboratories, social science, and data modelling)"
"1089";"crs_XM-DAC-928-DJ-2020-21-04.001.EM01.DJI01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1090";"crs_XM-DAC-928-DJ-2020-21-04.001.EM01.DJI02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1091";"crs_XM-DAC-928-DM-2020-21-04.001.AM01.DMA01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1092";"crs_XM-DAC-928-DM-2020-21-04.001.AM01.DMA02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1093";"crs_XM-DAC-928-DO-2016-17-04.004.AM01.DOM01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1094";"crs_XM-DAC-928-DO-2018-19-01.003.AM01.DOM02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1095";"crs_XM-DAC-928-DO-2018-19-04.004.AM01.DOM01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1096";"crs_XM-DAC-928-DO-2018-19-12.001.AM01.DOM02";"Global expert networks and innovative mechanisms developed to manage new and evolving high-threat infectious hazards (such as for clinical management, laboratories, social science, and data modelling)"
"1097";"crs_XM-DAC-928-DO-2020-21-04.001.AM01.DOM01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1098";"crs_XM-DAC-928-DO-2020-21-04.001.AM01.DOM02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1099";"crs_XM-DAC-928-DZ-2016-17-04.004.AF01.DZA01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
